index,label
250,transistor-good
251,tile-good
252,cable-good
253,capsule-good
254,metal_nut-flip
255,metal_nut-good
256,metal_nut-scratch
257,capsule-good
258,zipper-good
259,hazelnut-good
260,hazelnut-good
261,screw-good
262,hazelnut-good
263,hazelnut-cut
264,leather-poke
265,leather-color
266,wood-good
267,screw-good
268,metal_nut-flip
269,cable-good
270,carpet-color
271,screw-good
272,wood-good
273,transistor-good
274,cable-good
275,capsule-good
276,pill-good
277,capsule-good
278,transistor-good
279,zipper-good
280,pill-good
281,leather-poke
282,transistor-good
283,pill-good
284,pill-good
285,screw-good
286,grid-good
287,tile-good
288,tile-good
289,bottle-good
290,carpet-color
291,bottle-good
292,leather-fold
293,leather-good
294,cable-good
295,zipper-good
296,tile-good
297,transistor-good
298,transistor-good
299,transistor-good
300,screw-good
301,leather-poke
302,zipper-good
303,transistor-good
304,screw-good
305,pill-good
306,toothbrush-good
307,grid-good
308,leather-poke
309,screw-good
310,screw-good
311,transistor-good
312,bottle-good
313,metal_nut-scratch
314,wood-good
315,transistor-good
316,screw-good
317,wood-good
318,wood-good
319,tile-good
320,cable-good
321,screw-good
322,metal_nut-scratch
323,cable-good
324,leather-good
325,capsule-good
326,screw-good
327,screw-good
328,pill-good
329,transistor-good
330,screw-good
331,capsule-good
332,screw-good
333,carpet-color
334,carpet-color
335,bottle-good
336,tile-good
337,metal_nut-good
338,screw-good
339,cable-good
340,wood-good
341,screw-good
342,metal_nut-good
343,tile-good
344,screw-good
345,leather-cut
346,metal_nut-flip
347,metal_nut-scratch
348,hazelnut-good
349,pill-good
350,carpet-color
351,cable-missing_cable
352,cable-good
353,capsule-good
354,carpet-color
355,capsule-good
356,cable-good
357,pill-good
358,bottle-good
359,toothbrush-good
360,transistor-good
361,capsule-good
362,leather-fold
363,carpet-metal_contamination
364,transistor-good
365,zipper-good
366,wood-good
367,cable-good
368,cable-good
369,leather-cut
370,hazelnut-good
371,screw-good
372,cable-good
373,bottle-good
374,hazelnut-good
375,transistor-good
376,wood-good
377,screw-good
378,capsule-good
379,grid-good
380,metal_nut-good
381,screw-good
382,wood-good
383,tile-glue_strip
384,capsule-good
385,grid-good
386,metal_nut-good
387,capsule-good
388,hazelnut-cut
389,screw-good
390,leather-color
391,metal_nut-good
392,bottle-good
393,leather-fold
394,capsule-good
395,transistor-good
396,cable-cut_outer_insulation
397,bottle-contamination
398,hazelnut-print
399,tile-good
400,wood-good
401,tile-good
402,transistor-good
403,zipper-good
404,bottle-good
405,tile-good
406,pill-good
407,capsule-good
408,leather-color
409,pill-good
410,cable-good
411,capsule-good
412,pill-good
413,cable-good
414,bottle-good
415,transistor-good
416,leather-poke
417,transistor-good
418,hazelnut-cut
419,transistor-good
420,metal_nut-scratch
421,zipper-good
422,metal_nut-scratch
423,carpet-color
424,carpet-color
425,pill-good
426,zipper-good
427,zipper-good
428,leather-good
429,transistor-good
430,bottle-good
431,zipper-good
432,cable-good
433,bottle-good
434,tile-good
435,hazelnut-crack
436,wood-good
437,pill-good
438,carpet-color
439,grid-good
440,pill-good
441,tile-oil
442,transistor-good
443,screw-good
444,transistor-good
445,transistor-good
446,carpet-color
447,zipper-good
448,tile-good
449,leather-fold
450,wood-good
451,zipper-good
452,bottle-good
453,carpet-color
454,tile-good
455,hazelnut-good
456,screw-good
457,hazelnut-good
458,carpet-color
459,metal_nut-flip
460,cable-good
461,carpet-color
462,screw-good
463,leather-poke
464,carpet-color
465,capsule-good
466,capsule-good
467,metal_nut-flip
468,screw-good
469,metal_nut-scratch
470,pill-contamination
471,metal_nut-scratch
472,tile-good
473,bottle-good
474,screw-good
475,cable-good
476,wood-good
477,transistor-good
478,screw-good
479,screw-good
480,pill-good
481,screw-good
482,carpet-cut
483,cable-good
484,screw-good
485,screw-good
486,cable-good
487,grid-good
488,hazelnut-hole
489,pill-good
490,carpet-cut
491,cable-good
492,cable-good
493,screw-good
494,hazelnut-good
495,capsule-good
496,transistor-good
497,toothbrush-good
498,cable-good
499,zipper-good
500,screw-good
501,tile-oil
502,metal_nut-scratch
503,transistor-good
504,cable-good
505,tile-good
506,leather-fold
507,wood-good
508,toothbrush-good
509,leather-poke
510,capsule-good
511,screw-good
512,transistor-good
513,transistor-good
514,transistor-good
515,zipper-good
516,cable-good
517,metal_nut-scratch
518,leather-poke
519,cable-good
520,tile-good
521,pill-good
522,wood-good
523,metal_nut-good
524,pill-good
525,zipper-good
526,cable-good
527,wood-good
528,capsule-good
529,carpet-cut
530,capsule-good
531,hazelnut-hole
532,hazelnut-good
533,hazelnut-good
534,grid-good
535,screw-good
536,zipper-good
537,wood-good
538,pill-good
539,toothbrush-good
540,cable-good
541,wood-good
542,grid-good
543,screw-good
544,grid-good
545,zipper-good
546,transistor-good
547,tile-good
548,hazelnut-good
549,pill-good
550,cable-good
551,capsule-good
552,pill-good
553,pill-good
554,zipper-good
555,tile-glue_strip
556,screw-good
557,capsule-good
558,zipper-good
559,screw-good
560,leather-cut
561,capsule-good
562,leather-color
563,carpet-color
564,cable-good
565,hazelnut-hole
566,grid-good
567,grid-good
568,hazelnut-good
569,screw-good
570,hazelnut-good
571,wood-good
572,hazelnut-good
573,pill-good
574,cable-good
575,wood-good
576,zipper-good
577,carpet-hole
578,grid-good
579,zipper-good
580,pill-good
581,metal_nut-scratch
582,tile-good
583,carpet-cut
584,transistor-good
585,transistor-good
586,transistor-good
587,carpet-color
588,leather-color
589,transistor-good
590,screw-good
591,hazelnut-cut
592,cable-good
593,zipper-good
594,zipper-good
595,metal_nut-good
596,carpet-cut
597,tile-good
598,zipper-good
599,hazelnut-good
600,leather-good
601,hazelnut-good
602,hazelnut-hole
603,cable-good
604,pill-good
605,cable-good
606,pill-good
607,cable-good
608,transistor-good
609,pill-good
610,metal_nut-scratch
611,grid-good
612,cable-good
613,carpet-color
614,hazelnut-good
615,capsule-good
616,pill-good
617,zipper-good
618,carpet-color
619,cable-good
620,cable-good
621,cable-good
622,zipper-good
623,tile-glue_strip
624,bottle-good
625,carpet-color
626,metal_nut-bent
627,toothbrush-good
628,hazelnut-good
629,bottle-good
630,leather-color
631,toothbrush-good
632,screw-good
633,screw-good
634,zipper-good
635,leather-poke
636,cable-good
637,capsule-good
638,carpet-cut
639,leather-poke
640,pill-good
641,leather-fold
642,transistor-good
643,bottle-broken_large
644,carpet-color
645,zipper-good
646,cable-good
647,leather-cut
648,capsule-good
649,zipper-good
650,wood-good
651,hazelnut-print
652,carpet-color
653,screw-good
654,grid-good
655,wood-good
656,screw-good
657,capsule-good
658,capsule-good
659,leather-good
660,transistor-good
661,cable-cut_outer_insulation
662,carpet-color
663,transistor-good
664,capsule-good
665,grid-good
666,wood-combined
667,hazelnut-good
668,tile-good
669,cable-good
670,hazelnut-good
671,pill-good
672,bottle-good
673,pill-good
674,pill-good
675,bottle-good
676,wood-good
677,pill-good
678,cable-good
679,tile-good
680,leather-poke
681,leather-fold
682,tile-oil
683,pill-good
684,cable-good
685,tile-good
686,tile-good
687,hazelnut-good
688,grid-good
689,leather-good
690,metal_nut-good
691,cable-good
692,screw-good
693,pill-good
694,grid-good
695,cable-good
696,hazelnut-good
697,zipper-good
698,tile-good
699,bottle-good
700,cable-good
701,leather-good
702,hazelnut-hole
703,screw-good
704,bottle-good
705,carpet-color
706,screw-good
707,transistor-good
708,cable-cut_outer_insulation
709,wood-good
710,pill-good
711,pill-good
712,screw-good
713,grid-good
714,carpet-good
715,wood-good
716,carpet-color
717,leather-glue
718,hazelnut-good
719,zipper-good
720,capsule-good
721,transistor-good
722,screw-good
723,transistor-good
724,zipper-good
725,transistor-good
726,pill-good
727,hazelnut-good
728,pill-good
729,cable-good
730,hazelnut-good
731,bottle-good
732,pill-good
733,pill-good
734,hazelnut-good
735,metal_nut-good
736,carpet-color
737,pill-good
738,capsule-good
739,wood-good
740,hazelnut-good
741,carpet-thread
742,pill-good
743,pill-good
744,tile-good
745,carpet-color
746,bottle-contamination
747,pill-good
748,pill-good
749,capsule-good
750,metal_nut-good
751,cable-good
752,metal_nut-flip
753,transistor-good
754,capsule-good
755,tile-oil
756,zipper-good
757,bottle-good
758,pill-good
759,capsule-good
760,screw-good
761,hazelnut-cut
762,cable-good
763,pill-good
764,bottle-good
765,capsule-good
766,grid-good
767,zipper-good
768,metal_nut-good
769,pill-good
770,wood-good
771,carpet-cut
772,wood-good
773,zipper-good
774,hazelnut-hole
775,screw-good
776,pill-good
777,screw-good
778,bottle-good
779,capsule-good
780,transistor-good
781,leather-good
782,screw-good
783,wood-combined
784,cable-good
785,leather-good
786,toothbrush-good
787,toothbrush-good
788,screw-good
789,cable-good
790,zipper-good
791,carpet-color
792,toothbrush-good
793,toothbrush-good
794,zipper-good
795,hazelnut-crack
796,transistor-good
797,zipper-good
798,screw-good
799,pill-good
800,zipper-good
801,hazelnut-crack
802,tile-good
803,metal_nut-good
804,tile-good
805,wood-good
806,pill-good
807,bottle-broken_large
808,leather-cut
809,zipper-good
810,cable-good
811,capsule-good
812,capsule-good
813,grid-good
814,toothbrush-good
815,wood-good
816,screw-good
817,bottle-contamination
818,tile-good
819,screw-good
820,pill-good
821,hazelnut-print
822,cable-good
823,metal_nut-good
824,screw-good
825,cable-good
826,capsule-good
827,cable-good
828,hazelnut-hole
829,transistor-good
830,carpet-color
831,grid-thread
832,cable-good
833,capsule-good
834,zipper-good
835,tile-good
836,capsule-good
837,screw-good
838,carpet-color
839,pill-good
840,hazelnut-hole
841,bottle-good
842,screw-good
843,screw-good
844,tile-good
845,transistor-good
846,leather-poke
847,bottle-contamination
848,tile-oil
849,capsule-good
850,tile-oil
851,wood-good
852,screw-good
853,capsule-good
854,transistor-good
855,capsule-good
856,zipper-good
857,hazelnut-good
858,transistor-good
859,zipper-good
860,cable-good
861,hazelnut-good
862,metal_nut-good
863,screw-good
864,carpet-cut
865,transistor-good
866,toothbrush-good
867,cable-good
868,zipper-good
869,cable-good
870,carpet-color
871,leather-good
872,pill-good
873,pill-good
874,pill-good
875,carpet-color
876,screw-good
877,wood-good
878,leather-poke
879,leather-color
880,hazelnut-good
881,grid-good
882,capsule-good
883,capsule-good
884,transistor-good
885,tile-good
886,screw-good
887,pill-good
888,leather-good
889,metal_nut-flip
890,transistor-good
891,zipper-good
892,leather-good
893,cable-good
894,leather-cut
895,screw-good
896,pill-good
897,screw-good
898,cable-good
899,carpet-color
900,transistor-good
901,leather-color
902,screw-good
903,pill-good
904,capsule-good
905,zipper-good
906,leather-fold
907,capsule-good
908,screw-good
909,metal_nut-bent
910,tile-glue_strip
911,pill-good
912,zipper-good
913,capsule-good
914,leather-cut
915,screw-good
916,metal_nut-flip
917,screw-good
918,tile-oil
919,wood-good
920,hazelnut-good
921,screw-good
922,tile-good
923,zipper-good
924,metal_nut-good
925,leather-cut
926,cable-bent_wire
927,toothbrush-good
928,cable-good
929,toothbrush-good
930,tile-good
931,cable-cable_swap
932,capsule-good
933,metal_nut-good
934,capsule-good
935,pill-good
936,tile-oil
937,leather-cut
938,carpet-cut
939,leather-good
940,carpet-good
941,leather-fold
942,screw-good
943,screw-good
944,bottle-broken_large
945,leather-color
946,leather-glue
947,capsule-good
948,zipper-good
949,hazelnut-good
950,capsule-good
951,metal_nut-scratch
952,tile-good
953,grid-good
954,screw-good
955,carpet-color
956,capsule-good
957,transistor-good
958,capsule-good
959,wood-good
960,zipper-good
961,screw-good
962,pill-good
963,hazelnut-good
964,hazelnut-good
965,cable-good
966,screw-good
967,hazelnut-print
968,cable-good
969,hazelnut-good
970,carpet-color
971,carpet-color
972,bottle-good
973,cable-good
974,hazelnut-good
975,tile-good
976,pill-good
977,leather-color
978,screw-good
979,screw-good
980,leather-good
981,carpet-color
982,screw-good
983,transistor-good
984,pill-good
985,capsule-good
986,grid-good
987,metal_nut-good
988,screw-good
989,screw-good
990,pill-good
991,screw-good
992,capsule-good
993,cable-good
994,cable-good
995,bottle-good
996,zipper-good
997,bottle-good
998,leather-fold
999,screw-good
1000,leather-good
1001,capsule-good
1002,leather-good
1003,metal_nut-bent
1004,wood-good
1005,tile-good
1006,cable-good
1007,capsule-good
1008,tile-good
1009,screw-good
1010,zipper-good
1011,pill-good
1012,tile-good
1013,cable-good
1014,leather-poke
1015,screw-good
1016,pill-good
1017,zipper-good
1018,hazelnut-good
1019,pill-good
1020,screw-good
1021,tile-good
1022,pill-good
1023,metal_nut-scratch
1024,hazelnut-print
1025,cable-good
1026,metal_nut-good
1027,pill-good
1028,cable-good
1029,zipper-good
1030,leather-poke
1031,transistor-good
1032,tile-good
1033,metal_nut-flip
1034,capsule-good
1035,screw-good
1036,pill-good
1037,capsule-good
1038,hazelnut-good
1039,capsule-good
1040,metal_nut-good
1041,tile-glue_strip
1042,transistor-good
1043,transistor-good
1044,carpet-color
1045,screw-good
1046,transistor-good
1047,grid-good
1048,cable-good
1049,transistor-good
1050,cable-good
1051,carpet-color
1052,wood-good
1053,zipper-good
1054,toothbrush-good
1055,capsule-good
1056,cable-good
1057,capsule-good
1058,zipper-good
1059,grid-good
1060,zipper-good
1061,leather-color
1062,cable-cable_swap
1063,screw-good
1064,hazelnut-good
1065,metal_nut-scratch
1066,carpet-color
1067,metal_nut-scratch
1068,carpet-color
1069,tile-good
1070,transistor-good
1071,pill-good
1072,wood-good
1073,capsule-good
1074,screw-good
1075,zipper-good
1076,wood-good
1077,screw-good
1078,bottle-good
1079,tile-good
1080,transistor-good
1081,capsule-good
1082,tile-good
1083,pill-good
1084,transistor-good
1085,bottle-good
1086,bottle-good
1087,leather-poke
1088,tile-good
1089,pill-good
1090,grid-good
1091,pill-good
1092,zipper-good
1093,leather-color
1094,hazelnut-good
1095,metal_nut-good
1096,hazelnut-print
1097,wood-good
1098,transistor-good
1099,wood-good
1100,cable-good
1101,zipper-good
1102,leather-good
1103,bottle-good
1104,tile-glue_strip
1105,carpet-cut
1106,zipper-good
1107,zipper-good
1108,transistor-good
1109,capsule-good
1110,tile-good
1111,transistor-good
1112,wood-good
1113,metal_nut-good
1114,bottle-good
1115,carpet-color
1116,cable-good
1117,cable-good
1118,metal_nut-good
1119,transistor-good
1120,metal_nut-scratch
1121,tile-good
1122,pill-good
1123,pill-good
1124,tile-good
1125,zipper-good
1126,wood-good
1127,screw-good
1128,hazelnut-good
1129,carpet-color
1130,transistor-good
1131,cable-good
1132,cable-good
1133,toothbrush-good
1134,screw-good
1135,transistor-good
1136,wood-good
1137,hazelnut-good
1138,cable-good
1139,wood-combined
1140,zipper-good
1141,tile-good
1142,capsule-good
1143,hazelnut-good
1144,hazelnut-good
1145,cable-good
1146,hazelnut-good
1147,tile-good
1148,screw-good
1149,grid-good
1150,transistor-good
1151,tile-good
1152,cable-good
1153,bottle-good
1154,zipper-good
1155,zipper-good
1156,leather-glue
1157,screw-good
1158,pill-good
1159,zipper-good
1160,transistor-good
1161,screw-good
1162,transistor-good
1163,cable-good
1164,capsule-good
1165,screw-good
1166,leather-cut
1167,capsule-good
1168,transistor-good
1169,cable-good
1170,zipper-good
1171,cable-good
1172,wood-good
1173,screw-good
1174,tile-oil
1175,pill-good
1176,leather-color
1177,grid-good
1178,grid-good
1179,transistor-good
1180,leather-fold
1181,tile-good
1182,grid-good
1183,bottle-good
1184,toothbrush-good
1185,carpet-color
1186,bottle-good
1187,bottle-good
1188,hazelnut-print
1189,tile-good
1190,cable-good
1191,capsule-good
1192,capsule-good
1193,transistor-good
1194,hazelnut-cut
1195,bottle-good
1196,wood-good
1197,grid-good
1198,toothbrush-good
1199,hazelnut-hole
1200,screw-good
1201,carpet-color
1202,zipper-good
1203,bottle-good
1204,cable-good
1205,metal_nut-scratch
1206,bottle-good
1207,metal_nut-flip
1208,bottle-good
1209,screw-good
1210,wood-good
1211,cable-good
1212,zipper-good
1213,leather-color
1214,wood-good
1215,cable-good
1216,capsule-good
1217,zipper-good
1218,bottle-good
1219,bottle-good
1220,pill-good
1221,metal_nut-scratch
1222,pill-good
1223,capsule-good
1224,cable-good
1225,cable-good
1226,capsule-good
1227,cable-bent_wire
1228,grid-good
1229,toothbrush-good
1230,pill-good
1231,carpet-color
1232,pill-good
1233,transistor-good
1234,zipper-good
1235,tile-oil
1236,grid-good
1237,tile-good
1238,capsule-good
1239,leather-good
1240,pill-good
1241,toothbrush-good
1242,screw-good
1243,transistor-good
1244,zipper-good
1245,carpet-cut
1246,cable-good
1247,cable-good
1248,transistor-good
1249,zipper-good
1250,tile-oil
1251,screw-good
1252,screw-good
1253,carpet-color
1254,wood-good
1255,screw-good
1256,leather-color
1257,transistor-good
1258,leather-color
1259,cable-good
1260,screw-good
1261,pill-good
1262,toothbrush-good
1263,bottle-good
1264,transistor-good
1265,pill-good
1266,cable-good
1267,tile-glue_strip
1268,capsule-good
1269,tile-good
1270,zipper-good
1271,hazelnut-print
1272,leather-poke
1273,pill-good
1274,zipper-good
1275,pill-good
1276,metal_nut-good
1277,grid-thread
1278,transistor-good
1279,metal_nut-good
1280,metal_nut-bent
1281,bottle-contamination
1282,zipper-good
1283,leather-poke
1284,pill-good
1285,leather-color
1286,zipper-good
1287,tile-good
1288,hazelnut-good
1289,hazelnut-crack
1290,pill-good
1291,cable-good
1292,leather-fold
1293,hazelnut-good
1294,pill-good
1295,cable-good
1296,tile-oil
1297,leather-color
1298,zipper-good
1299,hazelnut-print
1300,tile-good
1301,capsule-good
1302,carpet-color
1303,cable-good
1304,hazelnut-good
1305,tile-good
1306,carpet-hole
1307,hazelnut-good
1308,transistor-good
1309,cable-good
1310,bottle-good
1311,grid-good
1312,zipper-good
1313,screw-good
1314,zipper-good
1315,capsule-good
1316,carpet-color
1317,screw-good
1318,transistor-good
1319,pill-good
1320,zipper-good
1321,transistor-good
1322,capsule-good
1323,metal_nut-good
1324,toothbrush-good
1325,carpet-color
1326,hazelnut-print
1327,bottle-good
1328,screw-good
1329,transistor-good
1330,transistor-good
1331,grid-good
1332,metal_nut-bent
1333,tile-good
1334,carpet-color
1335,cable-good
1336,tile-good
1337,grid-good
1338,metal_nut-scratch
1339,metal_nut-good
1340,hazelnut-good
1341,cable-good
1342,hazelnut-crack
1343,grid-good
1344,hazelnut-good
1345,tile-good
1346,hazelnut-good
1347,cable-good
1348,transistor-good
1349,tile-good
1350,zipper-good
1351,tile-good
1352,grid-good
1353,transistor-good
1354,transistor-good
1355,metal_nut-good
1356,bottle-broken_large
1357,wood-good
1358,pill-good
1359,screw-good
1360,zipper-good
1361,leather-cut
1362,tile-good
1363,transistor-good
1364,cable-good
1365,metal_nut-scratch
1366,transistor-good
1367,transistor-good
1368,hazelnut-good
1369,toothbrush-good
1370,pill-good
1371,screw-good
1372,cable-good
1373,zipper-good
1374,tile-good
1375,hazelnut-good
1376,capsule-good
1377,zipper-good
1378,hazelnut-good
1379,hazelnut-good
1380,transistor-good
1381,toothbrush-good
1382,leather-glue
1383,wood-good
1384,metal_nut-scratch
1385,leather-poke
1386,carpet-color
1387,carpet-color
1388,screw-good
1389,screw-good
1390,zipper-good
1391,hazelnut-hole
1392,hazelnut-good
1393,hazelnut-good
1394,cable-good
1395,capsule-good
1396,leather-poke
1397,carpet-color
1398,zipper-good
1399,cable-good
1400,tile-good
1401,grid-glue
1402,cable-good
1403,hazelnut-print
1404,metal_nut-scratch
1405,hazelnut-good
1406,metal_nut-good
1407,pill-good
1408,cable-good
1409,pill-good
1410,carpet-color
1411,cable-cable_swap
1412,metal_nut-good
1413,capsule-good
1414,cable-good
1415,toothbrush-good
1416,bottle-good
1417,capsule-good
1418,zipper-good
1419,cable-good
1420,cable-good
1421,carpet-color
1422,cable-good
1423,metal_nut-scratch
1424,tile-good
1425,cable-good
1426,screw-good
1427,transistor-good
1428,tile-good
1429,zipper-good
1430,cable-good
1431,toothbrush-good
1432,grid-good
1433,metal_nut-flip
1434,screw-good
1435,pill-good
1436,zipper-good
1437,metal_nut-scratch
1438,toothbrush-good
1439,tile-good
1440,pill-good
1441,pill-good
1442,screw-good
1443,capsule-good
1444,cable-good
1445,hazelnut-crack
1446,carpet-color
1447,tile-oil
1448,tile-glue_strip
1449,transistor-good
1450,hazelnut-good
1451,hazelnut-hole
1452,carpet-cut
1453,capsule-good
1454,pill-good
1455,zipper-good
1456,grid-good
1457,cable-good
1458,grid-good
1459,carpet-cut
1460,hazelnut-good
1461,transistor-good
1462,grid-good
1463,leather-poke
1464,carpet-color
1465,leather-cut
1466,hazelnut-good
1467,zipper-good
1468,transistor-good
1469,bottle-good
1470,transistor-good
1471,wood-good
1472,pill-good
1473,bottle-good
1474,toothbrush-good
1475,pill-good
1476,screw-good
1477,bottle-good
1478,cable-good
1479,wood-good
1480,toothbrush-good
1481,pill-good
1482,grid-good
1483,metal_nut-flip
1484,transistor-good
1485,hazelnut-good
1486,zipper-good
1487,hazelnut-hole
1488,tile-good
1489,metal_nut-flip
1490,metal_nut-bent
1491,leather-color
1492,capsule-good
1493,tile-good
1494,screw-good
1495,hazelnut-hole
1496,leather-color
1497,cable-good
1498,leather-poke
1499,pill-good
1500,pill-good
1501,pill-good
1502,leather-poke
1503,metal_nut-flip
1504,zipper-good
1505,zipper-good
1506,metal_nut-scratch
1507,zipper-good
1508,hazelnut-crack
1509,leather-color
1510,cable-missing_cable
1511,cable-good
1512,pill-good
1513,bottle-good
1514,capsule-good
1515,tile-good
1516,screw-good
1517,capsule-good
1518,carpet-cut
1519,bottle-good
1520,transistor-good
1521,metal_nut-good
1522,pill-good
1523,capsule-good
1524,hazelnut-good
1525,pill-good
1526,tile-good
1527,cable-good
1528,grid-good
1529,cable-good
1530,tile-good
1531,carpet-color
1532,grid-glue
1533,carpet-cut
1534,pill-good
1535,screw-good
1536,metal_nut-good
1537,carpet-color
1538,zipper-good
1539,grid-good
1540,wood-good
1541,metal_nut-scratch
1542,tile-good
1543,metal_nut-scratch
1544,tile-good
1545,transistor-good
1546,hazelnut-good
1547,bottle-good
1548,screw-good
1549,leather-cut
1550,leather-poke
1551,transistor-good
1552,leather-fold
1553,wood-good
1554,pill-good
1555,capsule-good
1556,transistor-good
1557,transistor-good
1558,leather-glue
1559,wood-good
1560,leather-poke
1561,screw-good
1562,bottle-good
1563,leather-good
1564,toothbrush-good
1565,leather-good
1566,wood-good
1567,grid-good
1568,pill-good
1569,hazelnut-good
1570,pill-good
1571,carpet-color
1572,tile-good
1573,pill-good
1574,pill-good
1575,toothbrush-good
1576,capsule-good
1577,transistor-good
1578,zipper-good
1579,metal_nut-good
1580,cable-good
1581,hazelnut-good
1582,tile-good
1583,leather-fold
1584,leather-cut
1585,cable-good
1586,wood-good
1587,bottle-good
1588,bottle-good
1589,cable-good
1590,capsule-good
1591,carpet-color
1592,pill-good
1593,transistor-good
1594,carpet-cut
1595,leather-fold
1596,leather-color
1597,carpet-color
1598,capsule-good
1599,screw-good
1600,transistor-good
1601,pill-good
1602,screw-good
1603,grid-good
1604,capsule-good
1605,tile-good
1606,carpet-color
1607,hazelnut-good
1608,leather-color
1609,bottle-good
1610,toothbrush-good
1611,wood-good
1612,zipper-good
1613,wood-good
1614,hazelnut-good
1615,wood-good
1616,metal_nut-good
1617,cable-good
1618,hazelnut-good
1619,transistor-good
1620,capsule-good
1621,tile-good
1622,hazelnut-good
1623,wood-good
1624,zipper-good
1625,cable-good
1626,pill-good
1627,cable-good
1628,bottle-good
1629,zipper-good
1630,transistor-good
1631,zipper-good
1632,grid-good
1633,tile-good
1634,zipper-good
1635,capsule-good
1636,cable-good
1637,metal_nut-good
1638,cable-good
1639,pill-good
1640,carpet-color
1641,capsule-good
1642,leather-color
1643,grid-good
1644,transistor-good
1645,metal_nut-good
1646,pill-good
1647,tile-good
1648,carpet-color
1649,grid-good
1650,bottle-good
1651,pill-good
1652,grid-good
1653,zipper-good
1654,bottle-good
1655,hazelnut-good
1656,zipper-good
1657,carpet-cut
1658,grid-good
1659,carpet-color
1660,screw-good
